[2025-03-30 23:39:01,310 - INFO -             <module>(): ] Starting logger
[2025-03-30 23:40:00,912 - INFO -             <module>(): ] Starting logger
[2025-03-30 23:40:17,282 - INFO -     process_question(): ] Received question: Download and unzip file abcd.zip which has a single extract.csv file inside. What is the value in the "answer" column of the CSV file?
[2025-03-30 23:41:20,658 - INFO -             <module>(): ] Starting logger
[2025-03-30 23:50:26,319 - INFO -             <module>(): ] Starting logger
[2025-03-30 23:50:26,363 - INFO -             <module>(): ] Starting FastAPI server...
[2025-03-30 23:50:27,657 - INFO -             <module>(): ] Starting logger
[2025-03-30 23:52:01,838 - INFO -     process_question(): ] Received question: Download and unzip file q-extract-csv-zip.zip which has a single extract.csv file inside. What is the value in the "answer" column of the CSV file?
[2025-03-30 23:55:18,575 - INFO -             <module>(): ] Starting logger
[2025-03-30 23:55:32,049 - INFO -     process_question(): ] Received question: Download and unzip file q-extract-csv-zip.zip which has a single extract.csv file inside. What is the value in the "answer" column of the CSV file?
[2025-03-30 23:55:32,049 - INFO -     process_question(): ] Attempting to save the file
[2025-03-30 23:55:32,053 - INFO -     process_question(): ] Sending question to openai Download and unzip file q-extract-csv-zip.zip which has a single extract.csv file inside. What is the value in the "answer" column of the CSV file?
[2025-03-31 00:00:18,922 - INFO -             <module>(): ] Starting logger
[2025-03-31 00:00:28,678 - INFO -     process_question(): ] Received question: Download and unzip file q-extract-csv-zip.zip which has a single extract.csv file inside. What is the value in the "answer" column of the CSV file?
[2025-03-31 00:00:28,679 - INFO -     process_question(): ] Attempting to save the file
[2025-03-31 00:00:28,679 - INFO - save_upload_file_temporarily(): ] Saving file temporarily: q-extract-csv-zip.zip
[2025-03-31 00:00:28,679 - INFO - save_upload_file_temporarily(): ] Creating temporary directory
[2025-03-31 00:00:28,682 - INFO - save_upload_file_temporarily(): ] File path: C:\Users\saran\AppData\Local\Temp\tmpm1qpqes8\q-extract-csv-zip.zip
[2025-03-31 00:00:28,682 - INFO - save_upload_file_temporarily(): ] Saving file to C:\Users\saran\AppData\Local\Temp\tmpm1qpqes8\q-extract-csv-zip.zip
[2025-03-31 00:00:28,683 - INFO - save_upload_file_temporarily(): ] File saved successfully
[2025-03-31 00:00:28,684 - INFO -     process_question(): ] Sending question to openai Download and unzip file q-extract-csv-zip.zip which has a single extract.csv file inside. What is the value in the "answer" column of the CSV file?
[2025-03-31 00:05:19,165 - INFO -             <module>(): ] Starting logger
[2025-03-31 00:10:19,638 - INFO -             <module>(): ] Starting logger
[2025-03-31 00:15:19,755 - INFO -             <module>(): ] Starting logger
